Time,0.5 0.5
867.5,39.2982
868,39.3062
868.5,39.3142
869,39.3222
869.5,39.3302
870,39.3382
870.5,39.3461
871,39.3541
871.5,39.3621
872,39.37
872.5,39.378
873,39.3859
873.5,39.3938
874,39.4018
874.5,39.4097
875,39.4176
875.5,39.4255
876,39.4334
876.5,39.4413
877,39.4492
877.5,39.4571
878,39.465
878.5,39.4729
879,39.4807
879.5,39.4886
880,39.4964
880.5,39.5043
881,39.5121
881.5,39.52
882,39.5278
882.5,39.5356
883,39.5434
883.5,39.5512
884,39.559
884.5,39.5668
885,39.5746
885.5,39.5824
886,39.5902
886.5,39.598
887,39.6057
887.5,39.6135
888,39.6212
888.5,39.629
889,39.6367
889.5,39.6445
890,39.6522
890.5,39.6599
891,39.6676
891.5,39.6753
892,39.683
